id_family,Family
1346,Caryophylliidae
1347,Caryophylliidae
1348,Caryophylliidae
1349,Caryophylliidae
1350,Caryophylliidae
1351,Caryophylliidae
1352,Caryophylliidae
1353,Caryophylliidae
1354,Caryophylliidae
1355,Caryophylliidae
1356,Caryophylliidae
1357,Caryophylliidae
1358,Caryophylliidae
1359,Caryophylliidae
1360,Caryophylliidae
1361,Caryophylliidae
1362,Caryophylliidae
1363,Caryophylliidae
1364,Caryophylliidae
1365,Caryophylliidae
1366,Caryophylliidae
1367,Caryophylliidae
1368,Caryophylliidae
1369,Caryophylliidae
1370,Caryophylliidae
1371,Caryophylliidae
1372,Caryophylliidae
1373,Caryophylliidae
1374,Caryophylliidae
1375,Caryophylliidae
1376,Caryophylliidae
1377,Caryophylliidae
1378,Caryophylliidae
1379,Caryophylliidae
1380,Caryophylliidae
1381,Caryophylliidae
1382,Caryophylliidae
1383,Caryophylliidae
1384,Caryophylliidae
1385,Caryophylliidae
1386,Caryophylliidae
1387,Caryophylliidae
1388,Caryophylliidae
1389,Caryophylliidae
1390,Caryophylliidae
1391,Caryophylliidae
1392,Caryophylliidae
1393,Caryophylliidae
1394,Caryophylliidae
1395,Caryophylliidae
1396,Caryophylliidae
1397,Caryophylliidae
1398,Caryophylliidae
1399,Caryophylliidae
1400,Caryophylliidae
1401,Caryophylliidae
1402,Caryophylliidae
1403,Caryophylliidae
1404,Caryophylliidae
1405,Caryophylliidae
1406,Caryophylliidae
1407,Caryophylliidae
1408,Caryophylliidae
1409,Caryophylliidae
1410,Caryophylliidae
1411,Caryophylliidae
1412,Caryophylliidae
1413,Caryophylliidae
1414,Caryophylliidae
1415,Caryophylliidae
1416,Caryophylliidae
1417,Caryophylliidae
1418,Dendrophylliidae
1419,Dendrophylliidae
1420,Dendrophylliidae
1421,Dendrophylliidae
1422,Dendrophylliidae
1423,Dendrophylliidae
1424,Dendrophylliidae
1425,Dendrophylliidae
1426,Dendrophylliidae
1427,Dendrophylliidae
1428,Dendrophylliidae
1429,Dendrophylliidae
1430,Dendrophylliidae
1431,Dendrophylliidae
1432,Dendrophylliidae
1433,Dendrophylliidae
1434,Dendrophylliidae
1435,Dendrophylliidae
1436,Dendrophylliidae
1437,Dendrophylliidae
1438,Dendrophylliidae
1439,Dendrophylliidae
1440,Dendrophylliidae
1441,Dendrophylliidae
1442,Dendrophylliidae
1443,Dendrophylliidae
1444,Dendrophylliidae
1445,Dendrophylliidae
1446,Dendrophylliidae
1447,Dendrophylliidae
1448,Dendrophylliidae
